year,month,period,metric,median,n_readings,iqr,min_val,max_val,flags_consensus,needs_review
2018,6,night,total,51.4,6,26.0,25.4,51.4,,high_spread_26.0|std_10.6
2018,7,day,avion,41.4,13,32.699999999999996,41.4,74.1,,high_spread_32.7|std_9.1
2018,7,day,total,59.900000000000006,6,2.3999999999999986,58.7,61.1,*¹,
2018,7,evening,avion,32.9,6,40.300000000000004,32.9,73.2,,high_spread_40.3|std_16.5
2018,7,evening,total,52.2,1,0.0,52.2,52.2,*¹,only_1_readings
2018,7,night,avion,26.9,5,1.5,25.4,26.9,,
2018,7,night,total,50.45,4,24.200000000000003,26.9,51.1,,high_spread_24.2|std_11.9
2018,8,day,avion,43.2,10,2.0,43.2,45.2,,
2018,8,day,total,56.2,5,2.5,56.2,58.7,*,
2018,8,evening,avion,35.0,4,41.2,32.5,73.7,,high_spread_41.2|std_19.9
2018,8,evening,total,50.6,2,0.0,50.6,50.6,*¹,only_2_readings
2018,8,night,avion,22.9,6,49.300000000000004,22.9,72.2,,high_spread_49.3|std_19.8
2018,8,night,total,38.3,4,25.800000000000004,22.9,48.7,*,high_spread_25.8|std_13.6
2018,9,day,avion,42.4,11,7.0,42.4,49.4,¹,high_spread_7.0|std_2.5
2018,9,day,total,58.1,11,0.0,58.1,58.1,,
2018,9,evening,avion,37.4,12,0.0,37.4,37.4,,
2018,9,evening,total,52.4,11,0.8999999999999986,51.5,52.4,,
2018,9,night,avion,24.2,10,0.10000000000000142,24.2,24.3,,
2018,9,night,total,51.2,12,27.000000000000004,24.2,51.2,,high_spread_27.0|std_12.2
2018,10,day,avion,39.7,7,0.0,39.7,39.7,¹,
2018,10,day,total,60.7,10,0.0,60.7,60.7,,
2018,10,evening,avion,38.2,13,0.0,38.2,38.2,,
2018,10,evening,total,52.5,11,0.0,52.5,52.5,,
2018,10,night,avion,17.5,6,0.0,17.5,17.5,,
2018,10,night,total,50.2,11,32.7,17.5,50.2,,high_spread_32.7|std_13.2
2018,11,day,avion,39.3,8,20.200000000000003,39.3,59.5,¹,high_spread_20.2|std_7.1
2018,11,day,total,60.0,8,60.0,0.0,60.0,,high_spread_60.0|std_21.2
2018,11,evening,avion,37.7,8,0.0,37.7,37.7,,
2018,11,evening,total,51.9,11,0.0,51.9,51.9,,
2018,11,night,avion,13.6,9,0.0,13.6,13.6,,
2018,11,night,total,49.7,13,36.1,13.6,49.7,,high_spread_36.1|std_15.8
2018,12,day,avion,42.4,12,7.0,42.3,49.3,,high_spread_7.0|std_2.3
2018,12,day,total,59.3,12,0.0,59.3,59.3,,
2018,12,evening,avion,38.9,13,0.0,38.9,38.9,,
2018,12,evening,total,51.6,10,0.0,51.6,51.6,,
2018,12,night,avion,21.2,10,50.0,21.2,71.2,,high_spread_50.0|std_24.1
2018,12,night,total,49.2,13,50.0,21.2,71.2,,high_spread_50.0|std_11.9
2019,1,day,avion,41.1,7,0.6000000000000014,41.1,41.7,¹,
2019,1,day,total,61.7,7,0.0,61.7,61.7,,
2019,1,evening,avion,37.6,13,0.0,37.6,37.6,,
2019,1,evening,total,52.0,9,0.0,52.0,52.0,,
2019,1,night,avion,11.8,10,0.0,11.8,11.8,,
2019,1,night,total,50.2,13,38.400000000000006,11.8,50.2,,high_spread_38.4|std_16.8
2019,2,day,avion,39.2,7,0.09999999999999432,39.2,39.3,¹,
2019,2,day,total,61.0,8,0.0,61.0,61.0,,
2019,2,evening,avion,37.5,11,10.0,37.5,47.5,,high_spread_10.0|std_3.0
2019,2,evening,total,52.1,9,0.10000000000000142,52.1,52.2,,
2019,2,night,avion,13.5,10,0.0,13.5,13.5,,
2019,2,night,total,50.2,12,36.7,13.5,50.2,,high_spread_36.7|std_16.6
2019,3,day,avion,41.3,7,0.6999999999999957,41.2,41.9,¹,
2019,3,day,total,58.8,10,0.0,58.8,58.8,,
2019,3,evening,avion,35.6,13,0.0,35.6,35.6,,
2019,3,evening,total,51.2,6,0.0,51.2,51.2,,
2019,3,night,avion,14.1,10,0.0,14.1,14.1,,
2019,3,night,total,49.2,12,35.1,14.1,49.2,,high_spread_35.1|std_13.7
2019,4,day,avion,39.0,6,34.900000000000006,39.0,73.9,,high_spread_34.9|std_14.1
2019,4,day,total,59.5,12,0.0,59.5,59.5,,
2019,4,evening,avion,37.0,13,0.0,37.0,37.0,,
2019,4,evening,total,51.2,8,0.0,51.2,51.2,,
2019,4,night,avion,22.2,10,0.5,22.2,22.7,,
2019,4,night,total,48.6,13,26.400000000000002,22.2,48.6,,high_spread_26.4|std_9.9
2019,5,day,avion,39.2,4,20.699999999999996,39.2,59.9,¹,high_spread_20.7|std_10.3
2019,5,day,total,56.4,10,0.0,56.4,56.4,,
2019,5,evening,avion,35.4,13,0.0,35.4,35.4,,
2019,5,evening,total,50.9,8,0.0,50.9,50.9,,
2019,5,night,avion,,13,,,,,no_valid_readings
2019,5,night,total,48.8,9,0.0,48.8,48.8,,
2019,6,day,avion,37.1,4,2.1000000000000014,37.1,39.2,*¹,
2019,6,day,total,57.1,12,0.0,57.1,57.1,,
2019,6,evening,avion,32.0,13,0.0,32.0,32.0,,
2019,6,evening,total,50.4,6,0.0,50.4,50.4,,
2019,6,night,avion,17.3,10,0.0,17.3,17.3,,
2019,6,night,total,49.7,12,32.400000000000006,17.3,49.7,,high_spread_32.4|std_9.4
2019,7,day,avion,41.0,9,0.0,41.0,41.0,,
2019,7,day,total,56.2,10,0.0,56.2,56.2,,
2019,7,evening,avion,30.3,12,0.0,30.3,30.3,,
2019,7,evening,total,40.95,2,21.3,30.3,51.6,,high_spread_21.3|only_2_readings
2019,7,night,avion,22.5,11,0.0,22.5,22.5,,
2019,7,night,total,49.2,13,26.700000000000003,22.5,49.2,,high_spread_26.7|std_10.0
2019,8,day,avion,40.8,13,0.0,40.8,40.8,,
2019,8,day,total,54.5,8,0.0,54.5,54.5,,
2019,8,evening,avion,30.0,12,0.0,30.0,30.0,,
2019,8,evening,total,48.8,8,18.799999999999997,30.0,48.8,,high_spread_18.8|std_6.6
2019,8,night,avion,17.3,12,0.0,17.3,17.3,,
2019,8,night,total,45.8,12,0.0,45.8,45.8,,
2019,9,day,avion,45.0,8,32.2,42.5,74.7,,high_spread_32.2|std_14.2
2019,9,day,total,55.5,12,0.0,55.5,55.5,,
2019,9,evening,avion,36.2,12,0.0,36.2,36.2,,
2019,9,evening,total,51.3,12,15.099999999999994,36.2,51.3,,high_spread_15.1|std_4.4
2019,9,night,avion,20.6,13,0.0,20.6,20.6,,
2019,9,night,total,48.7,12,0.0,48.7,48.7,,
2019,10,day,avion,41.6,7,0.0,41.6,41.6,,
2019,10,day,total,56.5,1,0.0,56.5,56.5,,only_1_readings
2019,10,evening,avion,37.9,10,16.800000000000004,37.9,54.7,,high_spread_16.8|std_5.3
2019,10,evening,total,51.9,7,14.0,37.9,51.9,,high_spread_14.0|std_6.8
2019,10,night,avion,15.9,9,0.9999999999999982,15.9,16.9,,
2019,10,night,total,49.0,12,0.0,49.0,49.0,,
2019,11,day,avion,40.6,7,0.0,40.6,40.6,,
2019,11,day,total,55.8,1,0.0,55.8,55.8,,only_1_readings
2019,11,evening,avion,37.4,10,10.0,37.4,47.4,,high_spread_10.0|std_3.2
2019,11,evening,total,37.4,3,10.0,37.4,47.4,,high_spread_10.0|std_5.8
2019,11,night,avion,17.5,8,54.2,17.5,71.7,,high_spread_54.2|std_19.2
2019,11,night,total,48.8,4,0.0,48.8,48.8,*,
2019,12,day,avion,39.8,9,0.0,39.8,39.8,,
2019,12,day,total,55.2,12,0.0,55.2,55.2,,
2019,12,evening,avion,37.1,7,0.0,37.1,37.1,,
2019,12,evening,total,51.8,5,14.699999999999996,37.1,51.8,,high_spread_14.7|std_6.4
2019,12,night,avion,0.0,1,0.0,0.0,0.0,,only_1_readings
2019,12,night,total,50.2,11,0.0,50.2,50.2,,
2020,1,day,avion,41.7,6,0.0,41.7,41.7,,
2020,1,day,total,55.8,12,0.0,55.8,55.8,,
2020,1,evening,avion,37.1,9,0.0,37.1,37.1,,
2020,1,evening,total,52.3,11,15.199999999999996,37.1,52.3,,high_spread_15.2|std_7.1
2020,1,night,avion,18.9,13,0.0,18.9,18.9,,
2020,1,night,total,49.8,12,0.0,49.8,49.8,,
2020,2,day,avion,40.8,8,0.0,40.8,40.8,,
2020,2,day,total,55.3,12,0.0,55.3,55.3,,
2020,2,evening,avion,36.5,10,0.0,36.5,36.5,,
2020,2,evening,total,51.7,8,15.200000000000003,36.5,51.7,,high_spread_15.2|std_7.9
2020,2,night,avion,13.7,12,0.0,13.7,13.7,,
2020,2,night,total,49.2,12,0.0,49.2,49.2,,
2020,3,day,avion,37.8,10,0.0,37.8,37.8,,
2020,3,day,total,56.6,10,0.0,56.6,56.6,,
2020,3,evening,avion,34.6,9,0.0,34.6,34.6,,
2020,3,evening,total,51.8,8,17.199999999999996,34.6,51.8,,high_spread_17.2|std_8.9
2020,3,night,avion,0.0,2,0.0,0.0,0.0,,only_2_readings
2020,3,night,total,54.2,6,0.0,54.2,54.2,,
